Name,Birthday,CountriesActive,YearsActive,ProvenVictims,PossibleVictims,Notes,Type,Nickname
Trevor Hardy,6/11/1945,United Kingdom,1974-1976,3,3,"Hardy was known to rob, stab, strangle and rape his victims prior to stripping and mutilating at least two victims. Hardy confessed he had bitten off the nipple of one of his victims, later filing his own teeth to avoid his teeth matching the marks left on the victims body. He buried two of his victims in shallow graves and dumped the last victims body. In 1977, Hardy was found guilty on three charges of murder and was sentenced to life imprisonment.","Rapist, Cannibal, Strangler","The Beast of Manchester, The Monster of Manchester"
Daisy de Melker,6/1/1886,South Africa,1923-1932,3,3,"Daisy de Melker (born Daisy Louisa Hancorn-Smith) an South African serial killer and poisoner who poisoned two husbands with strychnine for their life insurance while living in Germiston. Melker also poisoned her only son with arsenic. On 15 April 1932, the police obtained a court order permitting them to exhume the bodies of Rhodes Cowle, Robert Sproat and William Cowle. A week later, the police arrested Melker and charged her with the murder of all three men. Melker was executed by hanging on December 30th 1932 at Pretoria Central Prison, Pretoria, Gauteng, South Africa.",,
Miroslav Stehlik,6/14/1956,Czech Republic,1983,2,2,"Rapist, Strangler","In 1983, Stehlik raped fourteen women in Prague during the period of eleven months, with two victims killed. He committed an attempted rape at age fifteen and was sentenced to two years in prison. At eighteen he was sentenced to seven years in prison. He was released in 1982 and placed in institutional sexological treatment. Stehlík committed his first murder while still in treatment, committing his second less than thirteen hours after his release. Stehno (Thigh) was his nickname in prison.",Stehno (Thigh)
José Luis Calva,6/20/1969,Mexico,2004-2007,2,8,"José Luis Calva (José Luis Calva Zepeda) a Mexican serial killer accused of murder in up to eight separate cases, all involving women. Calva confessed to cannibalism. In October 2007 police went to Calva's home to arrest him under the suspicion for the disappearance of his girlfriend Alejandra Galeana, who was last seen on October 6. Calva was found eating a dish of human meat seasoned with lemon. Police found the mutilated body of his girlfriend, human meat in the refrigerator, a frying pan with cooked human flesh and human bones in a box of cereal. A picture of Anthony Hopkins portraying Hannibal Lecter was also found. The Mexico City department of corrections found Calva hanging from his belt in his Mexico City jail cell on December 11, 2007.","Cannibal, Strangler",
Wayne Williams,5/27/1958,United States,1979-1981,2,25,"Wayne Williams (Wayne Bertram Williams) an American serial killer who is believed to have perpetrated the Atlanta murders of 1979–1981. After being convicted of two murders and sentenced to life imprisonment, authorities closed twenty-two other unsolved murders, declaring Williams to have been the perpetrator. In 1982, Williams was convicted on two counts of murder and was sentenced to two consecutive life terms in Georgia's Hancock State Prison. Williams has maintained his innocence and the case was reopened as recently as 2005. In 2007, DNA test on canine hair, human hair and blood failed to exonerate Williams.",Strangler,
Bobby Jack Fowler,6/12/1939,"United States, Canada",1973-1996,1,20,"Fowler is a suspect in at least sixteen murders in Canada and the United States dating as far back as 1969. He was a potential suspect in Project E-Pana, the Highway of Tears cases in British Columbia, geographic profiler Kim Rossmo pointed out that many of these murders occurred after Fowler's imprisonment in 1996. Fowler's DNA was found on the body of at least one of his victims. In 2006, Bobby Jack Fowler died from lung cancer while still in custody at Oregon State Penitentiary.","Rapist, Strangler","Project E-Pana, the Highway of Tears"
John Norman Collins,6/17/1947,United States,1967-1969,1,8,"John Norman Collins (John Norman Chapman) an American serial killer who is a suspect in The Michigan Murders, a series of highly publicized killings of young women committed between 1967 and 1969. He was sentenced to life imprisonment for one murder attributed to the Michigan Murderer on August 19, 1970.",,"Ypsilanti Ripper, the Michigan Murderer, the Co-Ed Killer"
Norbert Poehlke,9/15/1951,Germany,1984-1985,6,6,"Poehlke was a German police officer who was found, after his suicide in 1985, to have committed several bank robberies and murders.",,"Der Hammermörder, The Hammer-Killer"
Mike DeBardeleben,3/20/1940,United States,1965-1983,8,8,"Mike DeBardeleben (James Mitchell DeBardeleben II) an American convicted kidnapper, rapist counterfeiter, and suspected serial killer who became known as the mall passer. A study from Radford University states he had an IQ of 127. Mike DeBardeleben died of pneumonia at the Federal Medical Center in Butner, North Carolina in early 2011.","Rapist, Torturer, Strangler, Stalker",The Mall Passer
Aleksey Sukletin,3/23/1943,Russia,1979-1985,7,7,"Sukletin killed and cannibalized at least seven girls and women in Tatarstan from 1979 to 1985. He had a female accomplice during his crimes, Madina Nurgazizovnaya Shakirova, a native of Vasilyevo. Shakirova was sentenced to fifteen years imprisonment, she was released in 2001. In 1986, the Supreme Court of Tartarstan found Sukletin guilty of seven murders, and he was sentenced to death. In 1987, Aleksey Sukletin was executed by firing squad.","Rapist, Cannibal, Torturer","The Alligator, The Vassilyevo Cannibal"
"The Killer of Eyes of Ice, The Monster of Mestre, The Full Moon Assassin and The Cherubino Nero",4/3/1962,"Italy, France",1981-1988,7,7,"In 1986, Succo escaped the mental hospital where he was recluded in for murdering his parents five years earlier and began a crime spree in Europe that included burglary, hijacking, kidnapping, rape and murder and earned him the Public Enemy Number One spot in Italy, France and Switzerland. Succo changed his name to Roberto Kurt using fake documents in order to evade police. In 1988, Roberto Succo committed suicide by suffocating himself with a plastic bag in his prison cell after failing to escape a second time.",Rapist,The Killer of Eyes of Ice
Joseph Taborsky,5/23/1924,United States,1950-1957,7,7,"Joseph ""Mad Dog"" Taborsky was sentenced to death after brutal robberies and murders in Connecticut during the 1950s. Executed by electrocution via electric chair at Wethersfield in 1960.",,Mad Dog
Darren Deon Vann,3/21/1971,United States,2013-2014,7,18,"Vann confessed to the murders of at least seven women in Gary, Indiana between 1995 and 2010. Vann would rape and strangle victims prior to leaving their bodies in abandoned structures in Gary, Indiana. He was captured after police traced the missing cell phone of one of his victims, which Vann astir had in his possession.","Rapist, Strangler",Donald Vann
Lorenzo Fayne,4/2/1971,United States,1989-1993,6,6,"Lorenzo Fayne an American serial killer who was convicted in the serial murders of five children and one adult in Illinois from 1989 to 1993. Fayne would beat, stab and strangle his victims to death. He committed necrophilic acts on at least one of the victims body. In 2009, a routine search of a national DNA databank of convicted felons linked Fayne to an additional victim, a mother of three. Her head had been smashed in with chunks of concrete and her body was raped. A study from Radford University states he had an IQ of 68.","Rapist, Strangler",
Leslie Irvin,4/2/1924,United States,1954-1955,6,6,Leslie Irvin an American serial killer known as The Mad Dog Killer who killed six people in robberies from 1954 to 1955. Irvin's Supreme Court case set a precedent for fair trials of highly publicized defendants.,,The Mad Dog Killer
Jozef Slovak,4/7/1951,"Slovakia, Czech Republic",1978-1991,5,5,"He killed his first victim in 1978, Slovák served eight years of his fifteen year sentence and he was released in 1990. He murdered at least four other women before being captured in 1991. In 1993, Jozef Slovák was sentenced to life imprisonment for the four murders and is currently serving his sentence at the Ilavská prison in Ilava, Slovakia.","Rapist, Strangler","The Bratislava Strangler, The Genius murderer"
Robert Shulman,3/28/1954,United States,1991-1996,5,5,Convicted of murdering five prostitutes between 1991 and 1996.,,
Vinko Pintarić,4/3/1941,Croatia,1973-1990,5,5,"Pintarić murdered five people, including his wife, between 1973 and 1990. He escaped from custody three times, killed in a 1991 shootout with the police.",,Caruga of Zagorje
David Edward Maust,4/5/1954,"Germany, United States",1974-2003,5,9,"Maust killed and molested teenage boys, he was arrested in 2003 when the bodies of three boys were found in the concrete floor of his basement in Hammond, Indiana. He was previously sentenced to four years for the manslaughter and larceny in the murder of a 13-year-old boy in Germany where Maust was stationed while in the army. Maust made parole in 1977, arrested again in 1979 and later released in 1981. The same year Maust was convicted again and served seventeen years in prison before his release in 1999. In 2006, Maust committed suicide by hanging himself in his jail cell after his latest conviction in 2005.","Rapist, Strangler",Crazy Dave
